Model,cond((Int)),disp((Int)),cond(scale(harvest)),cond(scale(osm_industrial)),cond(scale(pipeline_transmission_lines)),cond(scale(seismic_lines_3D)),cond(scale(seismic_lines)),cond(scale(trails)),cond(scale(wells)),df,logLik,AICc,delta,weight,Dataset,species
4000 meter buffer,-0.6015232280401245,+,0.05541942443890198,-0.138073053811819,-0.16132550103418197,-0.08229338307511505,-0.1277202391376988,0.1090549686069012,0.21021282597018331,9,-452.80330905714794,924.4174289251067,0,0.174063282344324,osm_anthro_df_2021_2022,bear
3750 meter buffer,-0.6013649836042952,+,0.051120725143108676,-0.13953450017508576,-0.15194464071883323,-0.08645588244254566,-0.11545828598398453,0.10791337552351096,0.19458596934522618,9,-452.8904457356773,924.5917022821654,0.17427335705872338,0.159538017203966,osm_anthro_df_2021_2022,bear
3500 meter buffer,-0.6006633201290854,+,0.0479053978686815,-0.12556482478285944,-0.15595893530793178,-0.08425655140124066,-0.10015801364744392,0.09872114821589674,0.1748819847125977,9,-453.4031503195583,925.6171114499274,1.1996825248206733,0.0955431198481728,osm_anthro_df_2021_2022,bear
4250 meter buffer,-0.600676918086027,+,0.06464311465992913,-0.13244959278556426,-0.15004063180568064,-0.08576510228568561,-0.1467179610782323,0.10781803113908282,0.21445981381798218,9,-453.50055457014355,925.8119199510979,1.3944910259912149,0.0866756864827696,osm_anthro_df_2021_2022,bear
3250 meter buffer,-0.6003572890941857,+,0.05221539562168739,-0.11428428437384047,-0.1617148406736966,-0.08254602305581352,-0.09434334629726639,0.09166206961001962,0.1722251841691319,9,-453.5363126465758,925.8834361039625,1.4660071788557616,0.0836310895310006,osm_anthro_df_2021_2022,bear
250 meter buffer,-0.5947385749336472,+,0.014482117754891125,0.040705860331229624,-0.07483023465669937,-0.13575398891057766,-0.019586477758275503,0.1337610195639805,-0.007107040536359538,9,-453.64969389162906,926.110198594069,1.692769668962228,0.0746666910872076,osm_anthro_df_2021_2022,bear
4500 meter buffer,-0.6006908812288683,+,0.06537874822764192,-0.12619486933676954,-0.14824551982942202,-0.08715346022923469,-0.14886063421059942,0.10723717552731535,0.21494623499166948,9,-453.7218916077054,926.2545940262216,1.8371651011149197,0.0694659270562423,osm_anthro_df_2021_2022,bear
4750 meter buffer,-0.600480577379703,+,0.06567351553481116,-0.12166185031148281,-0.14588034194514587,-0.08945536269062924,-0.1503980534977049,0.10538003340160164,0.21126195844104123,9,-454.0836616372987,926.9781340854082,2.560705160301495,0.048379024639819,osm_anthro_df_2021_2022,bear
3000 meter buffer,-0.5993262629223185,+,0.05157993145573454,-0.1007143916137271,-0.16372883508689418,-0.08421909450285772,-0.08098250733194365,0.07872619016731756,0.16299082416817443,9,-454.2466110881911,927.3040329871931,2.8866040620863487,0.0411044707798833,osm_anthro_df_2021_2022,bear
2750 meter buffer,-0.5986615572714574,+,0.05077139141689736,-0.08757547363710379,-0.16571955047615355,-0.08584863482442272,-0.08104547609878122,0.07847707522135713,0.1570188607868916,9,-454.35001042500085,927.5108316608125,3.0934027357058085,0.0370666467888391,osm_anthro_df_2021_2022,bear
5000 meter buffer,-0.5999001851392873,+,0.06687889574915232,-0.11836056843548996,-0.14452363894504844,-0.09168570772551667,-0.15026428021156954,0.10128633490292939,0.2109853736720257,9,-454.4271969069921,927.665204624795,3.2477756996883045,0.0343132327723608,osm_anthro_df_2021_2022,bear
2500 meter buffer,-0.5977168935251037,+,0.04560307610064783,-0.0746691189658713,-0.1545854911299227,-0.08322838194439158,-0.07426623878662683,0.08318239444976225,0.13095042703548124,9,-454.9213717313113,928.6535542734334,4.236125348326709,0.0209336152184615,osm_anthro_df_2021_2022,bear
1750 meter buffer,-0.5973737568371367,+,0.044133084216945964,-0.040286637083992036,-0.14611902771391597,-0.09228562721647568,-0.10733592042590237,0.07712904471373495,0.0988473756231054,9,-455.19924170128024,929.2092942133713,4.791865288264603,0.0158550217626861,osm_anthro_df_2021_2022,bear
2250 meter buffer,-0.5970674640778811,+,0.040595259500580426,-0.06358250228992439,-0.14929281156843474,-0.08316944953095373,-0.07224762146077753,0.08658668592647709,0.11917581344027457,9,-455.3338699256185,929.4785506620478,5.061121736941118,0.0138579358799176,osm_anthro_df_2021_2022,bear
2000 meter buffer,-0.5971866026720005,+,0.04329194855532686,-0.05038321060912852,-0.14757252169572385,-0.08609533577559245,-0.0930142362337023,0.08296611628785917,0.1053687688407802,9,-455.33622323466375,929.4832572801383,5.065828355031613,0.0138253622170436,osm_anthro_df_2021_2022,bear
1500 meter buffer,-0.5970707106510958,+,0.04253157237240341,-0.027985048121174513,-0.13526727350447001,-0.09866618213215203,-0.08144811913931017,0.07839530494934947,0.0826596899856302,9,-455.7317648038995,930.2743404186099,5.856911493503162,0.00930882782086563,osm_anthro_df_2021_2022,bear
1000 meter buffer,-0.5946071572678402,+,0.025947881248176544,-0.018972820302508447,-0.12706674971640036,-0.11114535351506427,-0.04636697479224709,0.08467478121959131,0.06608392351404871,9,-455.97113276443037,930.7530763396716,6.335647414564846,0.00732721294233599,osm_anthro_df_2021_2022,bear
1250 meter buffer,-0.5956455206339778,+,0.03523915395372282,-0.008794519402905375,-0.12775540143091685,-0.10642820062552903,-0.05029657023173687,0.08329980364034655,0.06373088823305634,9,-456.05509026211183,930.9209913350345,6.503562409927781,0.00673715493786854,osm_anthro_df_2021_2022,bear
500 meter buffer,-0.5940998539839952,+,0.032405233578746646,0.011470207708394452,-0.10182931750623818,-0.1261034047667335,-0.019867582001072567,0.0775389258047385,0.08064855993718262,9,-456.2004981810644,931.2118071729396,6.794378247832924,0.0058254124325256,osm_anthro_df_2021_2022,bear
750 meter buffer,-0.5926718677068474,+,0.0360780754651371,0.0046090231476484415,-0.10065338962755889,-0.1198153796853289,-0.02425698287114531,0.05208192429954662,0.08326256598364039,9,-457.33025041436184,933.4713116395345,9.0538827144278,0.00188226825371009,osm_anthro_df_2021_2022,bear
1000 meter buffer,-5.5482023388883945,+,-0.7434272456035655,-1.2895673921419526,-0.3131128635144558,-0.1874940411434001,0.15459500562858655,0.03898567092292087,0.6921299188368579,9,-133.0946364019643,285.0000836147394,0,0.884098184918733,osm_anthro_df_2021_2022,caribou
1250 meter buffer,-5.414418678693199,+,-0.3827272543986086,-1.2575652904051318,-0.30974826119120386,-0.1953561202191017,0.21040880208925306,0.02258331459379679,0.7364423699564744,9,-135.6749608870528,290.16073258491645,5.1606489701770215,0.0669699251524995,osm_anthro_df_2021_2022,caribou
750 meter buffer,-5.861135736885155,+,-1.8466582450164022,-1.0932993561210098,-0.2940728067140382,-0.12132901774011816,0.22122253802040748,0.06621092527918941,0.6323499088263954,9,-136.44193430588598,291.6946794225828,6.6945958078433705,0.0311019407713269,osm_anthro_df_2021_2022,caribou
1500 meter buffer,-5.316413701907956,+,-0.16875680436368143,-1.0871721551986635,-0.44106547749391584,-0.21181586089711543,0.14586261309791806,-0.12468209223119446,0.8065110019341645,9,-138.04769945247497,294.9062097157608,9.906126101021357,0.00624327618888914,osm_anthro_df_2021_2022,caribou
2000 meter buffer,-5.3029127178122195,+,-0.19538430151903166,-1.3294046940510558,-0.5624232767102909,-0.21414456395329007,0.14382342141264168,-0.15185239056649907,0.9663137762865793,9,-139.04207973357896,296.89497027796875,11.894886663229329,0.00230971650932782,osm_anthro_df_2021_2022,caribou
2500 meter buffer,-5.3573039178930095,+,-0.18331981771133893,-0.9859906175642049,-0.9072482146427778,-0.20674374649160795,0.15923966596788192,-0.2553326509115016,1.2408912884571763,9,-139.14566422333837,297.1021392574876,12.102055642748155,0.00208244004350066,osm_anthro_df_2021_2022,caribou
2750 meter buffer,-5.356840372817536,+,-0.1653045571431578,-0.6544320473034644,-1.0623980241223845,-0.18116466489775593,0.10498796378884694,-0.3034002967408804,1.2757101227393082,9,-139.27934420945505,297.36949922972093,12.369415614981506,0.00182186430077,osm_anthro_df_2021_2022,caribou
500 meter buffer,-5.73111790554975,+,-2.226920440585396,-0.35599955925324056,-0.2392162727927871,-0.1240856263060643,0.20969474477021766,-0.032295177098337756,0.5188764692860771,9,-139.37483230030548,297.5604754114218,12.560391796682381,0.00165594563619799,osm_anthro_df_2021_2022,caribou
1750 meter buffer,-5.267118405898843,+,-0.16939079596298123,-1.2063557942937904,-0.47050072357193645,-0.19671516648030724,0.09651472080338128,-0.13096070282225047,0.8359217772642127,9,-139.4659203089245,297.7426514286598,12.742567813920402,0.00151177463908197,osm_anthro_df_2021_2022,caribou
2250 meter buffer,-5.2862025696330015,+,-0.1932869128250596,-1.175610850273602,-0.6466125478952784,-0.22651170737201223,0.17175204413461037,-0.1732002081603626,1.0391622814593304,9,-139.9962153266653,298.8032414641414,13.803157849401998,0.00088957558630149,osm_anthro_df_2021_2022,caribou
3000 meter buffer,-5.325367249276896,+,-0.1264650954189567,-0.5274165454952229,-1.1040121721964655,-0.17061299966474405,0.02473656089246505,-0.3910739136901953,1.2519806930802917,9,-140.1523079224473,299.11542665570545,14.115343040966025,0.000761014098431799,osm_anthro_df_2021_2022,caribou
3250 meter buffer,-5.269542359107112,+,-0.13756893037599005,-0.4567902637778689,-1.0464903077900525,-0.18673037217844082,-0.03486376403161858,-0.4481502622337136,1.1743808066858983,9,-141.5352020720185,301.88121495484785,16.881131340108425,0.0001909015278893,osm_anthro_df_2021_2022,caribou
3500 meter buffer,-5.2222460550526595,+,-0.2107346766600645,-0.35285436345867205,-1.0622802112622816,-0.13735233954381282,-0.04570776314152871,-0.4814417575815932,1.1335766998494266,9,-142.03189254011357,302.874595891038,17.87451227629856,0.000116171467316526,osm_anthro_df_2021_2022,caribou
250 meter buffer,-205.47864285101255,+,-603.126242300672,-0.26819231300103225,-0.42212662506498105,-0.17968244692661905,0.21911310578924534,-0.26721142566609973,0.35016076123680256,9,-142.10191324724968,303.0146373053102,18.01455369057078,0.000108315315252137,osm_anthro_df_2021_2022,caribou
3750 meter buffer,-5.176263758213788,+,-0.31125977700236396,-0.2941439802941052,-1.029460748561371,-0.10411236493234516,-0.08400064233776026,-0.45833715275265663,1.0852317871653843,9,-142.6346758327241,304.08016247625903,19.08007886151961,6.3579047459346e-05,osm_anthro_df_2021_2022,caribou
5000 meter buffer,-5.11273166134934,+,-1.1953009264312413,0.028319634128176688,-0.9535882003969766,0.03660484528568034,-0.03071874810675858,-0.5412925412717353,0.8192120616563249,9,-143.73369820677817,306.2782072243672,21.278123609627755,2.11843266554813e-05,osm_anthro_df_2021_2022,caribou
4750 meter buffer,-5.094802476503962,+,-0.9945439486741902,0.01072870664621711,-0.9732911154971134,0.0176132134167492,-0.048105418028419694,-0.5394490922561177,0.8414262604697631,9,-143.85946175185228,306.5297343145154,21.52965069977597,1.86808335515047e-05,osm_anthro_df_2021_2022,caribou
4000 meter buffer,-5.124358412112368,+,-0.41643959424230564,-0.21849649802247612,-0.9482115799522467,-0.07631350816228924,-0.10206366516373086,-0.4060580267637887,0.9949018569972945,9,-143.915914988593,306.6426407879968,21.642557173257387,1.76554552992894e-05,osm_anthro_df_2021_2022,caribou
4250 meter buffer,-5.081196827609827,+,-0.5981531155551812,-0.1379458151085323,-0.9275871150847497,-0.029565792143432978,-0.08693773344391596,-0.4272556610861964,0.9080571374288855,9,-144.52625559967487,307.8633220101606,22.86323839542115,9.58984001864091e-06,osm_anthro_df_2021_2022,caribou
4500 meter buffer,-5.069085400524349,+,-0.8296410822446342,-0.06007709199894634,-0.9202266043755233,0.0030080599497512945,-0.0701185735595548,-0.4582402458481018,0.8303705512625945,9,-144.67500975182185,308.16083031445453,23.160746699715105,8.26434149776417e-06,osm_anthro_df_2021_2022,caribou
4750 meter buffer,-1.3925036388288492,+,-0.168455866629562,0.44600949148042934,0.049288577957271575,-0.05030671486106912,0.1597047664329734,0.021534287210651072,0.1512133235986644,9,-478.8306600451109,976.4721309010326,0,0.26770732613369,osm_anthro_df_2021_2022,coyote
5000 meter buffer,-1.39409602532238,+,-0.1785528422327606,0.44037461522823296,0.05546999845620343,-0.04633719772461561,0.1629007990061874,0.03025442743885554,0.15506108280523534,9,-478.9602845517123,976.7313799142354,0.25924901320274785,0.235160864678043,osm_anthro_df_2021_2022,coyote
4500 meter buffer,-1.3905437288432136,+,-0.14943073483896857,0.4497606346197097,0.028887929642905943,-0.0498825014303527,0.15578766706357108,0.011283848378200468,0.16170342228185866,9,-479.38378443718943,977.5783796851897,1.10624878415706,0.153971870251979,osm_anthro_df_2021_2022,coyote
3000 meter buffer,-1.3815418791546283,+,-0.07371073549007164,0.45636546212627727,-0.04583243830294299,-0.0531700195364548,0.12141722710655298,0.02023307185862037,0.2280652905871915,9,-479.67417480941924,978.1591604296493,1.6870295286166765,0.115166574332782,osm_anthro_df_2021_2022,coyote
2750 meter buffer,-1.3800477207652269,+,-0.06789167450666958,0.45624992449919893,-0.03609597726112847,-0.062492703787121136,0.12679522645388472,0.018038495401400432,0.2226766480716355,9,-480.40336403942365,979.6175388896581,3.145407988625493,0.0555448233538387,osm_anthro_df_2021_2022,coyote
4250 meter buffer,-1.3883798927232864,+,-0.13243863056406574,0.4488957962041345,0.01229977446719567,-0.050417750154038876,0.13957954360176583,0.004724674355243169,0.16963787664397212,9,-480.4601905227812,979.7311918563732,3.259060955340601,0.0524764154655315,osm_anthro_df_2021_2022,coyote
3250 meter buffer,-1.3823917571443158,+,-0.08254086121082961,0.44972286947545287,-0.03678621831222956,-0.04979732374781242,0.11675978885647373,0.013729476230071426,0.21790658829490514,9,-480.6905123600546,980.19183553092,3.71970462988736,0.0416808588134705,osm_anthro_df_2021_2022,coyote
2250 meter buffer,-1.3788630763277618,+,-0.04980165815197276,0.41189557126856957,0.02589171113752961,-0.1005721613516318,0.17375272853834814,0.05886730663063388,0.24090134350260964,9,-481.6380914350903,982.0869936809914,5.6148627799587985,0.0161587698512112,osm_anthro_df_2021_2022,coyote
2500 meter buffer,-1.3793420204492752,+,-0.057112417357863904,0.426550156791375,4.534264722029916e-4,-0.07836983779555955,0.16470117107439478,0.04019911454775205,0.23514654824573794,9,-481.6522045503551,982.1152199115211,5.643089010488438,0.0159323209779502,osm_anthro_df_2021_2022,coyote
4000 meter buffer,-1.3862639084426998,+,-0.1241480676809489,0.4384294707680852,-0.01521520209536562,-0.04670351541748369,0.13038334231884113,0.009784945277080478,0.1920668807456302,9,-481.85745247616154,982.5257157631339,6.053584862101275,0.0129760050435455,osm_anthro_df_2021_2022,coyote
2000 meter buffer,-1.3780298871742411,+,-0.034052913182472784,0.4143112394696236,0.03414376668397848,-0.12410064484902454,0.14961420445693724,0.05071526294171386,0.23595125936543823,9,-482.0702119954072,982.9512348016252,6.479103900592577,0.010489160250388,osm_anthro_df_2021_2022,coyote
1750 meter buffer,-1.3792664805750505,+,-0.017100267097117955,0.4133428042773704,0.052489427930632,-0.14991651452608515,0.14173678869092224,0.049734431019247786,0.23854222712233675,9,-482.3840183013714,983.5788474135536,7.106716512520961,0.0076640154826536,osm_anthro_df_2021_2022,coyote
3500 meter buffer,-1.3830055223072997,+,-0.0998488548402105,0.4311573463075898,-0.02542875406181115,-0.0493047748356643,0.11893390375633256,0.021716258435997053,0.21732776288477507,9,-482.44761384657755,983.7060385039659,7.2339076029333,0.00719179300621691,osm_anthro_df_2021_2022,coyote
3750 meter buffer,-1.3841988261137004,+,-0.11075148081198877,0.4269128848546717,-0.020006306198597078,-0.048227364296266596,0.1191147432006919,0.02043383095741083,0.21147612242138525,9,-482.92460440802085,984.6600196268525,8.187888725819903,0.00446357473103767,osm_anthro_df_2021_2022,coyote
1500 meter buffer,-1.38131609333737,+,-0.004779912388410766,0.4113817935129758,0.05901097888389079,-0.17358675504838816,0.15183483116563234,0.03889559487566724,0.25465520956648036,9,-483.20200230370705,985.2148154182249,8.742684517192288,0.00338228683293265,osm_anthro_df_2021_2022,coyote
1250 meter buffer,-1.3829096053539227,+,-0.009979530978709104,0.39933371664068323,0.07615637075242818,-0.1877642780968203,0.15770512151196822,0.018111061078072522,0.23525786236658522,9,-487.8267473157243,994.4643054422594,17.992174541226746,3.31672295090644e-05,osm_anthro_df_2021_2022,coyote
750 meter buffer,-1.38796148280819,+,0.019511212746143747,0.3722183441583917,0.13239480341474283,-0.15778007699894486,0.16634540663216688,-0.07321576131012834,0.2884574224048317,9,-493.60525900623713,1006.0213288232851,29.54919792225246,1.02596714924492e-07,osm_anthro_df_2021_2022,coyote
1000 meter buffer,-1.3850378501708676,+,-0.013772601832336154,0.3735061917785079,0.11179752338362343,-0.165234230539861,0.15497187126749953,0.002132868705534513,0.24339094394517055,9,-493.9775941932091,1006.765999197229,30.293868296196365,7.07017784151014e-08,osm_anthro_df_2021_2022,coyote
500 meter buffer,-1.387937037519137,+,0.008353304841125536,0.34563096738744653,0.0713110746521628,-0.12698932779431418,0.15406257359745865,-0.11330998275637265,0.24886776406248184,9,-499.55759193242017,1017.9259946756512,41.453863774618526,2.66727694380433e-10,osm_anthro_df_2021_2022,coyote
250 meter buffer,-1.3768110604329427,+,-0.09172276829876663,0.26632837040890567,0.12842110473183094,-0.05136722404806991,0.10336408257252096,0.008134051711395635,0.03331044219283501,9,-516.5011566481347,1051.8131241070803,75.34099320604764,1.16834593291894e-17,osm_anthro_df_2021_2022,coyote
250 meter buffer,-2.970097599468541,+,-0.37280999585295654,-0.2615153388436936,-0.10938080048918487,-0.15639169411306816,-0.05936497025953243,-0.004208533295761004,-0.10909890755115971,9,-282.4615506724756,583.733912155762,0,0.394989485934132,osm_anthro_df_2021_2022,fisher
500 meter buffer,-2.9688121312478932,+,-0.3248005921079061,-0.2356793934790391,-0.22360268867442865,-0.2158946633443982,-0.05955325622889661,0.004648945700295258,0.12487777663415439,9,-282.65395228554854,584.1187153819079,0.38480322614589113,0.325856641153719,osm_anthro_df_2021_2022,fisher
2500 meter buffer,-2.9512356190460225,+,-0.06195582072529952,0.05801436299721794,-0.3525790940081483,-0.2064241865832252,-0.12605138014532147,-0.02711368917603029,0.4010348442312521,9,-284.7049534858029,588.2207177824166,4.486805626654586,0.0419071448273962,osm_anthro_df_2021_2022,fisher
750 meter buffer,-2.9536487001670264,+,-0.2523573300387364,-0.09958788732680052,-0.2419766894868256,-0.26197681973050796,-0.02602933965915147,-0.00960976276229467,0.16416336213667296,9,-284.90303923069405,588.6168892721989,4.882977116436905,0.0343764105195239,osm_anthro_df_2021_2022,fisher
2750 meter buffer,-2.947957083345184,+,-0.050962998551756344,0.07552384869777043,-0.3390422586612497,-0.19254815416798468,-0.15164212310971129,-0.04878368306851659,0.37951586692150874,9,-285.00065949938573,588.8121298095823,5.078217653820275,0.031179172372769,osm_anthro_df_2021_2022,fisher
3000 meter buffer,-2.942918132924732,+,-0.044211430932606426,0.08027466535754907,-0.3117343199934309,-0.1849352271586189,-0.14381325204518472,-0.06929873050518369,0.37485533499848595,9,-285.4104139942966,589.6316387994041,5.897726643642045,0.0206971461752619,osm_anthro_df_2021_2022,fisher
3250 meter buffer,-2.940482398402519,+,-0.060510805569106735,0.04418902876332502,-0.27654821122571843,-0.1894937830283696,-0.15018407064910064,-0.07864555782408848,0.37914431955314654,9,-285.4133302263581,589.637471263527,5.903559107764977,0.0206368764170186,osm_anthro_df_2021_2022,fisher
1000 meter buffer,-2.9562928064254836,+,-0.24611026484487994,-0.03430378667008973,-0.21492413740571034,-0.3244353090268128,-0.031785422833921814,0.07840572078988037,0.17350396079878821,9,-285.59548716902214,590.0017851488551,6.2678729930930785,0.017200228181747,osm_anthro_df_2021_2022,fisher
1250 meter buffer,-2.9595352420148906,+,-0.26157040812820925,-0.018855637759618273,-0.1834547488620579,-0.3590341671750644,-0.07089472767957208,0.07808379813361199,0.20604926794398895,9,-285.7685113426808,590.3478334961725,6.613921340410457,0.0144674091731393,osm_anthro_df_2021_2022,fisher
4500 meter buffer,-2.953142778552997,+,-0.145960944016725,-0.23801472528962514,-0.1913936341873244,-0.21829587152642532,-0.12833971337259767,0.026855419172770432,0.46516784190084626,9,-285.85745595216997,590.5257227151508,6.79181055938875,0.0132361783815145,osm_anthro_df_2021_2022,fisher
4750 meter buffer,-2.957786392287205,+,-0.17650432602079633,-0.29095093902995794,-0.15992797329764158,-0.2316125735443049,-0.11391830761906258,0.06394520896289743,0.47167506149455823,9,-285.85993292705024,590.5306766649113,6.796764509149284,0.0132034332713026,osm_anthro_df_2021_2022,fisher
5000 meter buffer,-2.9606956860255633,+,-0.20226077585245708,-0.32141073390315306,-0.11827182384888965,-0.254989832561971,-0.11199743609993904,0.08400449465536701,0.45328996940081534,9,-285.9048250490737,590.6204609089582,6.886548753196166,0.01262381071662,osm_anthro_df_2021_2022,fisher
4250 meter buffer,-2.947593425706994,+,-0.12067895653386955,-0.17611969614310163,-0.2046227430581177,-0.21537487783574225,-0.13468010049689844,-5.200368975779305e-4,0.44386102342483946,9,-285.9626512057899,590.7361132223906,7.002201066628572,0.0119145294000794,osm_anthro_df_2021_2022,fisher
4000 meter buffer,-2.9420352885228485,+,-0.10750579202477963,-0.08553774547090591,-0.2241320807081177,-0.2091631280969768,-0.12611769391373656,-0.00893146196445099,0.4188395540348982,9,-286.13623690238325,591.0832846155773,7.349372459815299,0.010015890850165,osm_anthro_df_2021_2022,fisher
2250 meter buffer,-2.946490428799315,+,-0.09139343189412644,0.06675952327541619,-0.3130683208877991,-0.22034540893147386,-0.09884630687107504,-0.03364669818755653,0.35627113034819174,9,-286.18638237591307,591.183575562637,7.449663406874947,0.00952602420409587,osm_anthro_df_2021_2022,fisher
3500 meter buffer,-2.937845340830664,+,-0.08977741958160948,0.002052138820264426,-0.21896727840640823,-0.19625641478043837,-0.15263131076244696,-0.03327068353753812,0.3558263925287301,9,-286.2814478138046,591.3737064384201,7.639794282658045,0.00866214173345617,osm_anthro_df_2021_2022,fisher
3750 meter buffer,-2.9395029607899623,+,-0.10755445865565323,-0.040318967650299464,-0.20471628504116104,-0.20816824964241007,-0.1408752858408557,-0.004305003558376496,0.37830614169452886,9,-286.28292152097436,591.3766538527595,7.642741696997518,0.00864938567473454,osm_anthro_df_2021_2022,fisher
2000 meter buffer,-2.9441344901133943,+,-0.12836670864094268,0.059915768122698616,-0.2581474336515321,-0.25252733885396056,-0.10545941999287335,-0.023335859633660253,0.3050206735765692,9,-286.9352335745907,592.6812779599923,8.94736580423023,0.00450494753274721,osm_anthro_df_2021_2022,fisher
1500 meter buffer,-2.951163674721654,+,-0.21612238731555233,0.028076184889828465,-0.19037955737680703,-0.33165124488788983,-0.07759202278309622,0.06112487294595261,0.21948901707496246,9,-287.1645756601161,593.139962131043,9.406049975281007,0.00358168786157038,osm_anthro_df_2021_2022,fisher
1750 meter buffer,-2.947459725243604,+,-0.17881373154295105,0.0636950381335304,-0.20259354774710148,-0.2944687803042112,-0.09131610184700845,0.042094673678550326,0.2365683766899051,9,-287.421037142732,593.6528850962749,9.918972940512845,0.00277145561900784,osm_anthro_df_2021_2022,fisher
2000 meter buffer,-3.2205957225403075,+,0.10336864877444345,-0.3284308520338952,0.1151378890098418,-0.8979572133765629,-0.029811406709142025,0.22937182955420604,-0.1941208414112028,9,-245.9326400074351,510.67609082568106,0,0.245270059834562,osm_anthro_df_2021_2022,wolf
2250 meter buffer,-3.225891681182617,+,0.12436245686749034,-0.29216456797778995,0.1163282103334604,-0.9238415762095249,-0.022003881988597145,0.21716330960236,-0.22137594064906727,9,-245.97825603248054,510.7673228757719,0.09123205009086632,0.234333160003049,osm_anthro_df_2021_2022,wolf
1750 meter buffer,-3.211317845621671,+,0.08443702551259669,-0.2902750741477079,0.08698004200419472,-0.8790756509798144,-0.10098454478356908,0.21204923027216047,-0.18943108283093768,9,-246.34207638323574,511.4949635772823,0.8188727516012477,0.162865305523555,osm_anthro_df_2021_2022,wolf
2500 meter buffer,-3.2234180780110964,+,0.14345819785735026,-0.237828641155689,0.11847349288431318,-0.9636480779847506,-0.01863652760059084,0.20784809620640934,-0.20798771374838806,9,-246.59737080466635,512.0055524201435,1.3294615944624866,0.126169859616116,osm_anthro_df_2021_2022,wolf
1500 meter buffer,-3.19362081477918,+,0.07258303692149445,-0.27173295218563426,0.051252342081991926,-0.8376475590008579,-0.06988959042152898,0.1966725427632204,-0.17188983102251346,9,-247.22008530936327,513.2509814295373,2.574890603856261,0.0676883841280084,osm_anthro_df_2021_2022,wolf
2750 meter buffer,-3.213796431815224,+,0.1649551751699691,-0.19798363733904525,0.09800387087528743,-0.9548616157893142,-0.0282230796553114,0.17715161479623404,-0.20479412982346554,9,-247.5040204481822,513.8188517071752,3.142760881494155,0.0509568628207456,osm_anthro_df_2021_2022,wolf
3000 meter buffer,-3.2020136567461526,+,0.16025480499518108,-0.19161391929926228,0.09266036046205599,-0.9213181550840113,-0.03185417371459501,0.16119033007756214,-0.21974133350138214,9,-248.0947297747882,515.0002703603872,4.324179534706104,0.0282267503182691,osm_anthro_df_2021_2022,wolf
1250 meter buffer,-3.175857517224968,+,0.07268663573823839,-0.24850709776668686,0.02968595224937715,-0.7954583128421792,-0.01897316673013241,0.15413494878966294,-0.19944147224000913,9,-248.49461893540868,515.8000486816281,5.123957855947083,0.0189230538760947,osm_anthro_df_2021_2022,wolf
3250 meter buffer,-3.193875094574087,+,0.15381949711455223,-0.18538527696633542,0.09092027624052942,-0.8858471724152961,-0.04028453841284414,0.15591811073096312,-0.2563422525095942,9,-248.53182689193136,515.8744645946736,5.1983737689924965,0.0182319035907888,osm_anthro_df_2021_2022,wolf
